Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn In,Aboard,Fatalities,Ground,Summary,City,state/country,country,
11/15/56,,"Puerto Somoza, Nicaragua",Aerovias Guest,,,Douglas C-54A-10-DC,,,25,25,,,Puerto Somoza, Nicaragua,,
10/18/57,,"Porto Alegre, Brazil",Varig,,,Douglas C-47A,,,2,2,,,Porto Alegre, Brazil,,
11/17/56,,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,,,Douglas DC-3,,,36,36,,,El Rucio Mountain, Colombia,,
11/24/56,,"Near Eglisau, Switzerland",Ceskoslovenske Aerolinie,,,Ilyushin IL-12B,,,23,23,,,Near Eglisau, Switzerland,,
11/24/56,,"Paris, France",Linee Aeree Italiane,,,Douglas DC-6B,,,35,34,,,Paris, France,,
11/27/56,,"Caracas, Venezuela",Linea Aeropostal Venezolana,253,,Lockheed 749-79-34 Constellation,,,25,25,,,Caracas, Venezuela,,
12/8/56,,"Caqueta, Colombia",AIDA,,,Consolidated PBY-5A Catalina,,,16,14,,,Caqueta, Colombia,,
12/9/56,,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,810-9,,Canadair DC-4M-2 Northstar,,,62,62,,,Near Chilliwack, British Columbia, Canada,
12/12/56,,"Dannemois, France",Air France,,,Vickers 708 Viscount,,,5,5,,,Dannemois, France,,
12/22/56,,"Grub, Germany",JAT Yugoslav Airlines,,,Convair CV-340-58,,,30,3,,,Grub, Germany,,
12/22/56,,"Mt. Giner, Italy",Linee Aeree Italiane,,,Douglas DC-3,,,21,21,,,Mt. Giner, Italy,,
12/30/56,,"Dhahran, Saudi Arabia",Military - U.S. Air Force,,,Lockheed C-121C Super Constellation,,,37,11,,,Dhahran, Saudi Arabia,,
1/6/57,,"Owasso, Oklahoma",American Airlines,327,,Convair CV-240-0,,,10,1,,,Owasso, Oklahoma,,
1/11/57,,"Near Buenos Aires, Argentina",Fuerza A̩rea Argentina,,,Vickers 615 Viking 1B,,,33,17,,,Near Buenos Aires, Argentina,,
1/23/57,,"Ometepe Island, Nicaragua",Lanica,,,Douglas DC-3,,,16,16,,,Ometepe Island, Nicaragua,,
1/29/57,,"Paris, France",Air France,,,SNCASE SE.2010 Armagnac,,,70,2,,,Paris, France,,
1/31/57,,"Near Sunland, California",Douglas Aircraft,,,Douglas DC-7B / U.S. Air Force F-89J,,,6,5,,,Near Sunland, California,,
2/1/57,,"New York, New York",Northeast Airlines,823,,Douglas DC-6A,,,101,21,,,New York, New York,,
2/22/57,,"Kimpo Air Base, South Korea",Military - U.S. Air Force,,,Douglas C-124C,,,159,22,,,Kimpo Air Base, South Korea,,
3/2/57,,"Blyn, Washington",Alaska Airlines,100,,Douglas C-54B,,,5,5,,,Blyn, Washington,,
