Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn In,Aboard,Fatalities,Ground,Summary,City,state/country,country,
9/17/08,,"Fort Myer, Virginia",Military - U.S. Army,,,Wright Flyer III,,,2,1,,,Fort Myer, Virginia,,
7/12/12,,"AtlantiCity, New Jersey",Military - U.S. Navy,,,Dirigible,,,5,5,,,AtlantiCity, New Jersey,,
8/6/13,,"Victoria, British Columbia, Canada",Private,-,,Curtiss seaplane,,,1,1,,,Victoria, British Columbia, Canada,
9/9/13,,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,,,Over the North Sea,,,
10/17/13,,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,,,Near Johannisthal, Germany,,
3/5/15,,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,,,Tienen, Belgium,,
9/3/15,,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19,19,,,Off Cuxhaven, Germany,,
7/28/16,,"Near Jambol, Bulgeria",Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,20,,,Near Jambol, Bulgeria,,
9/24/16,,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,,,Billericay, England,,
10/1/16,,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,,,Potters Bar, England,,
11/21/16,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28,27,,,Mainz, Germany,,
11/28/16,,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20,20,,,Off West Hartlepool, England,,
3/4/17,,"Near Gent, Belgium",Military - German Army,,,Airship,,,20,20,,,Near Gent, Belgium,,
3/30/17,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,23,,,Off Northern Germany,,,
5/14/17,,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),,,21,21,,,Near Texel Island, North Sea,,
6/14/17,,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),,,24,24,,,Off Vlieland Island, North Sea,,
8/21/17,,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18,18,,,Off western Denmark,,,
10/20/17,,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),,,18,18,,,Near Luneville, France,,
4/7/18,,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,23,23,,,Over the Mediterranean,,,
5/10/18,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),,,22,22,,,Off Helgoland Island, Germany,,
8/11/18,,"Ameland Island, North Sea",Military - German Navy,,,Zeppelin L-53 (airship),,,19,19,,,Ameland Island, North Sea,,
12/16/18,,"Elizabeth, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Elizabeth, New Jersey,,
5/25/19,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Cleveland, Ohio,,
7/19/19,,"Dix Run, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Dix Run, Pennsylvania,,
10/2/19,,"Newcastle, England",Aircraft Transport and Travel,,,De Havilland DH-4,,,1,1,,,Newcastle, England,,
10/14/19,,"Cantonsville, Maryland",US Aerial Mail Service,,,Curtiss R-4LM,,,1,1,,,Cantonsville, Maryland,,
10/30/19,,"Long Valley, New Jersey",US Aerial Mail Service,,,De Havilland DH.4,,,1,1,,,Long Valley, New Jersey,,
3/10/20,,"New Paris, Indiana",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,New Paris, Indiana,,
3/30/20,,"Newark, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Newark, New Jersey,,
4/10/20,,"Newark, New Jersey",US Aerial Mail Service,,,Curtiss R-4LM,,,2,1,,,Newark, New Jersey,,
4/11/20,,"Heller Field, New Jersey",US Aerial Mail Service,,,Curtiss JN-4H,,,2,1,,,Heller Field, New Jersey,,
5/12/20,,"Oskaloosa, Iowa",US Aerial Mail Service,,,De Havilland DH-4,,,2,1,,,Oskaloosa, Iowa,,
6/6/20,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Cleveland, Ohio,,
8/16/20,,"Bedford, England",By Air,,,Armstrong-Whitworth F-K-8,,,1,1,,,Bedford, England,,
8/16/20,,"College Park, Maryland",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,College Park, Maryland,,
9/1/20,,"Morristown, New Jersey",US Aerial Mail Service,,,Junkers JL-6,,,2,2,,,Morristown, New Jersey,,
9/15/20,,"Pemberville, Ohio",US Aerial Mail Service,,,Junkers F-13,,,2,2,,,Pemberville, Ohio,,
9/27/20,,"Hillersburg, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Hillersburg, Pennsylvania,,
10/2/20,,"Off Port Vendres, France",Latecoere Airlines,,,Salmson 2-A-2,,,2,2,,,Off Port Vendres, France,,
10/5/20,,"Valencia, Spain",Latecoere Airlines,,,Breguet 14,,,2,2,,,Valencia, Spain,,
10/15/20,,"Batavia, Illinois",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Batavia, Illinois,,
11/7/20,,"Tie Siding, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Tie Siding, Wyoming,,
12/14/20,,"Cricklewood, England",Handley Page Transport,,,Handley Page HP-16,,,8,4,,,Cricklewood, England,,
12/24/20,,"Barcelona, Spain",Aeropostale,,,Breguet 14,,,1,1,,,Barcelona, Spain,,
2/3/21,,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Mendotta, Minnisota,,
2/9/21,,"La Crosse, Wisconsin",US Aerial Mail Service,,,Junkers F-13,,,3,3,,,La Crosse, Wisconsin,,
2/15/21,,Off Gibraltar,Aeropostale,,,Breguet 14,,,2,2,,,Off Gibraltar,,,
2/22/21,,"Elko, Nevada",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Elko, Nevada,,
4/6/21,,"Point Cook, Australia",Military - Royal Australian Air Force,,,,,,2,1,,,Point Cook, Australia,,
4/21/21,,"Mitchel Field, NY",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Mitchel Field, NY,,
4/29/21,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Cleveland, Ohio,,
5/17/21,,"Rock Springs, Wyoming",US Aerial Mail Service,,,,,,1,1,,,Rock Springs, Wyoming,,
7/16/21,,"San Francisco, California",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,San Francisco, California,,
8/14/21,,"Toulouse, France",Aeropostale,,,Breguet 14,,,2,2,,,Toulouse, France,,
8/24/21,,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),,,46,46,,,River Humber, England,,
9/6/21,,"Paris, France",Franco-Roumaine,,,Potez IX,,,5,5,,,Paris, France,,
12/5/21,,"Near Murchinson River, Australia",West Australian Airways,,,Bristol 28 Tourer,,,3,3,,,Near Murchinson River, Australia,,
1/14/22,,"Paris, France",Handley Page Transport,,,Handley Page O/10,,,5,5,,,Paris, France,,
2/21/22,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45,34,,,Near Norfolk, Virginia,,
4/7/22,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,,,7,7,,,Grandvilliers, France,,
4/8/22,,"Pao Ting Fou, China",,,,,,,17,17,,,Pao Ting Fou, China,,
4/13/22,,"Brooklands, England",Vickers,,,Vickers Viking,,,3,3,,,Brooklands, England,,
10/1/25,,"Nittany Mt, Ohio",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Nittany Mt, Ohio,,
6/3/22,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,,Bleriot Spad 27,,,3,3,,,Off Folkestone, Kent, England,
7/26/22,,"Cadix, Spain",Grands Express Aeriens,,,Breguet 14,,,3,3,,,Cadix, Spain,,
9/7/22,,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Indianapolis, Indiana,,
10/2/22,,"Venice, Italy",,,,de Havilland DH-9,,,4,4,,,Venice, Italy,,
10/25/22,,"Larache, Morocco",Grands Express Aeriens,,,Breguet 14,,,2,2,,,Larache, Morocco,,
12/3/22,,"Fez, Morocco",Grands Express Aeriens,,,Breguet 14,,,1,1,,,Fez, Morocco,,
1/10/23,,"Ajaccio, France",Amee de l'Air,,,Lior̩-et-Olivier H-13,,,4,3,,,Ajaccio, France,,
1/17/23,,"Barcelona, Spain",Grands Express Aeriens,,,Breguet 14,,,1,1,,,Barcelona, Spain,,
1/18/23,,"Cheyenne, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Cheyenne, Wyoming,,
2/26/23,,"Meadville, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Meadville, Pennsylvania,,
5/14/23,,"Monsures, France",Grands Express Aeriens,,,Farman F-60 Goliath,,,6,6,,,Monsures, France,,
8/27/23,,"Bucharest, Romania",Campagnie France Roumaine,,,Bl̩riot Spad 46,,,2,2,,,Bucharest, Romania,,
9/7/23,,"Colton, Ohio",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Colton, Ohio,,
9/14/23,,"Berks, England",Daimler Airways,,,de Havilland DH-34,,,6,6,,,Berks, England,,
11/18/23,,Russia,CCCP,,,Junkers F-13,,,4,2,,,Russia,,,
12/6/23,,"Castalia, Ohio",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Castalia, Ohio,,
12/23/23,,Over the Mediterranean Sea,Military - French Navy,,,Zeppelin Dixmunde (airship),,,52,52,,,Over the Mediterranean Sea,,,
12/24/23,,"Egbert, WY",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Egbert, WY,,
3/7/24,,"Grampian, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Grampian, Pennsylvania,,
4/24/24,,Over the English Channel,KLM Royal Dutch Airlines,,,Fokker F.III,,,3,3,,,Over the English Channel,,,
6/8/24,,"Barranquilla, Colombia",SCADTA,,,Junkers F-13,,,3,3,,,Barranquilla, Colombia,,
8/1/24,,United States,US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,United States,,,
11/6/24,,"Cabrerolles, France",Grands Express Aeriens,,,,,,1,1,,,Cabrerolles, France,,
12/21/24,,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,,,1,1,,,Goshen, Indiana,,
12/24/24,,"Purley, England",Imperial Airways,,,de Havilland DH-34B,,,8,8,,,Purley, England,,
3/22/25,,"Near Tiflies, Georgia, USSR",Zakavia,,,Junkers F-13,,,5,5,,,Near Tiflies, Georgia, USSR,
4/25/25,,"Alicante, Spain",Grands Express Aeriens,,,Breguet 14,,,4,4,,,Alicante, Spain,,
5/25/25,,"Alicante, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,,,2,2,,,Alicante, Spain,,
6/25/25,,"Landr̩cies, France",KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,,,4,4,,,Landr̩cies, France,,
6/26/25,,"Alicante, Spain",Grands Express Aeriens,,,Lior̩-et-Olivier H-13,,,2,2,,,Alicante, Spain,,
7/20/25,,"Rosas, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,,,1,1,,,Rosas, Spain,,
7/24/25,,"Budapest, Hungary",CIDNA,,,Potez IX,,,1,1,,,Budapest, Hungary,,
9/3/25,,"Caldwell, Ohio",Military - U.S. Navy,,,Dirigible ZR-1 Shenandoah (airship),,,43,14,,,Caldwell, Ohio,,
9/7/25,,"Toul, France",CIDNA,,,,,,3,3,,,Toul, France,,
11/14/25,,"Off Boulogne-sur-Mer, France",Air Union,,,Farman F-60 Goliath,,,2,2,,,Off Boulogne-sur-Mer, France,,
2/12/26,,"Montpelier, Ohio",US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1,1,,,Montpelier, Ohio,,
3/8/26,,"Staaken, Germany",Deutche Lufthansa,,,Junkers F-13,,,1,1,,,Staaken, Germany,,
5/31/26,,English Channel,Air Union,,,Breguet 14,,,1,1,,,English Channel,,,
7/3/26,,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation A̩rienne,,,Caudron C-61,,,7,7,,,Rossaugpt, Czechoslovakia,,
7/9/26,,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,,Fokker F-4,,,2,2,,,Wolvertem, Belgium,,
7/24/26,,"Juist, Germany",Deutsche Lufthansa,,,Junkers F-13,,,4,4,,,Juist, Germany,,
8/18/26,,"Hurst, Kent, England",Air Union,,,Bleriot 155,,,4,4,,,Hurst, Kent, England,
9/26/26,,"New York, New York",,,,Sikorsky S-25,,,5,2,,,New York, New York,,
10/8/26,,"Bueren, Germany",Deutsche Lufthansa,,,Fokker FG III,,,4,4,,,Bueren, Germany,,
10/21/26,,English Channel,Imperial Airways,,,Handley Page W-10,,,12,0,,,English Channel,,,
11/11/26,,"Cape Bojador, Morocco",Grands Express Aeriens,,,Breguet 14,,,3,3,,,Cape Bojador, Morocco,,
12/16/26,,"Medford, Oregon",PacifiAir Transport,,,Ryan M-1,,,1,1,,,Medford, Oregon,,
1/12/27,,"Lille, France",KLM Royal Dutch Airlines,,,Fokker F-VII,,,2,2,,,Lille, France,,
3/20/27,,"Rabat, Morocco",Grands Express Aeriens,,,Breguet 14,,,1,1,,,Rabat, Morocco,,
3/24/27,,"Tambo, Qld, Australia",Qantas,,,de Havilland DH-9C,,,3,3,,,Tambo, Qld, Australia,
4/15/27,,"King Hill, Idaho",Varney Air Lines,,,,,,1,1,,,King Hill, Idaho,,
4/22/27,,"Goshen, Indiana",US Aerial Mail Service,,,Douglas M-4,,,1,1,,,Goshen, Indiana,,
4/22/27,,"Floh, Germany",Deutsche Lufthansa,,,Fokker FG III,,,2,2,,,Floh, Germany,,
5/2/27,,"Algiers, Algeria",Air Union,,,SPCA Meteore 63,,,3,1,,,Algiers, Algeria,,
7/27/27,,"Amoneburg, Germany",Deutsche Lufthansa,,,Junkers F-13,,,5,5,,,Amoneburg, Germany,,
8/22/27,,"Sevenoaks, England",KLM Royal Dutch Airlines,,,Fokker F-VIII,,,11,1,,,Sevenoaks, England,,
9/3/27,,"Willington, Connecticut",Colonial Air Transport,,,Fokker Universal,,,1,1,,,Willington, Connecticut,,
9/17/27,,"Hadley, New Jersey",Reynolds Airways,,,Fokker F-VII,,,12,7,,,Hadley, New Jersey,,
9/22/27,,"Saale, Germany",Deutsche Lufthansa,,,BFW M-18,,,4,2,,,Saale, Germany,,
9/23/27,,"Schleiz, Germany",Deutsche Lufthansa,,,Dornier Merkur,,,6,6,,,Schleiz, Germany,,
10/6/27,,"Thies, Mauritania",Lignes Aeriennes Latecoere,,,Breguet 14,,,2,2,,,Thies, Mauritania,,
10/30/27,,"New Brunswick, New Jersey",Colonial Air Transport,,,Fairchild FC-2,,,4,4,,,New Brunswick, New Jersey,,
11/16/27,,"Strasburg, France",CIDNA,,,Farman F-121 Jabiru,,,1,1,,,Strasburg, France,,
11/16/27,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,,,6,6,,,Over the Gulf of Finland,,,
11/29/27,,"Corunna, Indiana",National Air Transport,,,Douglas M-4,,,1,1,,,Corunna, Indiana,,
12/26/27,,"Almeria, Spain",Aeropostale,,,Breguet 14,,,2,2,,,Almeria, Spain,,
12/28/27,,"Abuerio, Spain",Aeropostale,,,Breguet 14,,,1,1,,,Abuerio, Spain,,
12/31/27,,France,Latecoere Airlines,,,Lat̩co̬re 23,,,4,4,,,France,,,
1/8/28,,"Near Canajoharie, New York",Colonial Western Airlines,,,Fairchild FC-2,,,3,3,,,Near Canajoharie, New York,,
1/16/28,,"Solis, Uruguay",Aeropostale,,,Latecoere 25,,,2,2,,,Solis, Uruguay,,
1/22/28,,"Tarragona, Spain",Aeropostale,,,Breguet 14,,,2,2,,,Tarragona, Spain,,
1/22/28,,France,Aeropostale,,,Breguet 14,,,2,1,,,France,,,
1/27/28,,"Almeria, Spain",Aeropostale,,,Breguet 14,,,1,1,,,Almeria, Spain,,
2/26/28,,"Marquette, Nebraska",Boeing Air Transport,,,Boeing 40,,,2,1,,,Marquette, Nebraska,,
3/3/28,,"Rio de Janeiro, Brazil",,,,,,,10,10,,,Rio de Janeiro, Brazil,,
3/11/28,,"Off Cape Griz Nez, France",Air Union,,,Farman F-60 Goliath,,,2,2,,,Off Cape Griz Nez, France,,
4/17/28,,"Federal, Wyoming",Boeing Air Transport,,,Boeing 40,,,2,1,,,Federal, Wyoming,,
4/19/28,,"Minuesa, Spain",Iberia Airlines,,,Rohrbach Roland,,,9,9,,,Minuesa, Spain,,
5/7/28,,,Aeropostale,,,Latecoere 26,,,1,1,,,,,,
5/12/28,,"Dearborn, Minnesota",Ford Air Freight Inc.,,,Ford 4,,,2,2,,,Dearborn, Minnesota,,
5/26/28,,"Radevormwald, Germany",Deutsche Lufthansa,,,Junkers F-13,,,5,3,,,Radevormwald, Germany,,
6/14/28,,"Frankfurt, Germany",Deutsche Lufthansa,,,AEGK,,,5,5,,,Frankfurt, Germany,,
6/22/28,,"Lebo, Kansas",National Air Transport,,,Douglas M-4,,,1,1,,,Lebo, Kansas,,
7/10/28,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,,,6,6,,,Over the Gulf of Finland,,,
7/13/28,,"Purley, England",Imperial Airways,,,Vickers 74 Vulcan,,,4,4,,,Purley, England,,
7/24/28,,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,,,Fokker (KLM) F.III,,,1,1,,,Waalhaven harbor, Netherlands,,
8/25/28,,"Near Port Townsend, BC, Canada",British Columbia Airways,,,Ford 4-AT-B Tri Motor,,,7,7,,,Near Port Townsend, BC, Canada,
9/2/28,,"Toul, France",CIDNA,,,Bleriot Spad 56,,,3,3,,,Toul, France,,
9/4/28,,"Adelaide Hills, Australia",Qantas,,,de Havilland DH.50J,,,2,1,,,Adelaide Hills, Australia,,
9/4/28,,"Pocatello, Idaho",National Parks Airways,,,Fokker Super Universal,,,7,7,,,Pocatello, Idaho,,
9/6/28,,"Heroldbach, Germany",Deutsche Lufthansa,,,Fokker FG III,,,3,3,,,Heroldbach, Germany,,
10/4/28,,"Gerona, Spain",Aeropostale,,,Breguet 14,,,3,3,,,Gerona, Spain,,
10/18/28,,"Polk, Pennsylvania",National Air Transport,,,Douglas M-4,,,1,1,,,Polk, Pennsylvania,,
10/31/28,,"Valence, France",Air Union,,,Bleriot Spad 56,,,2,1,,,Valence, France,,
11/15/28,,Off Gibraltar,Aeropostale,,,Latecoere 32,,,2,1,,,Off Gibraltar,,,
11/24/28,,"Edgerton, Ohio",Universal Airlines,,,Hamilton H-47,,,3,3,,,Edgerton, Ohio,,
11/25/28,,"Bristolville, Ohio",National Air Transport,,,Douglas M-4,,,1,1,,,Bristolville, Ohio,,
11/25/28,,"Edgerton, Ohio",Continental Air Lines,,,Travel Air 4000,,,3,3,,,Edgerton, Ohio,,
12/1/28,,"Spur, Texas",Sunbeam Air Transport Co.,,,Ford 4-AT-B Tri Motor,,,5,5,,,Spur, Texas,,
12/3/28,,Brazil,Syndicato Condor,,,Dornier Wal,,,14,14,,,Brazil,,,
12/4/28,,"Rio de Janeiro, Brazil",,,,Junkers G24,,,6,6,,,Rio de Janeiro, Brazil,,
12/11/28,,"Letzlingen, Germany",Deutsche Lufthansa,,,Junkers G-31,,,4,3,,,Letzlingen, Germany,,
12/20/28,,"Huron, Ohio",National Air Transport,,,Douglas M-4,,,1,1,,,Huron, Ohio,,
12/23/28,,"Chattanooga, Tennessee",Interstate Airlines,,,Fairchild FC-2,,,4,4,,,Chattanooga, Tennessee,,
12/31/28,,"Reims, France",CIDNA,,,Bl̩riot Spad 66,,,3,2,,,Reims, France,,
1/5/29,,"Stafford Springs, Connecticut",Colonial Air Transport,,,Fairchild FC-2,,,1,1,,,Stafford Springs, Connecticut,,
1/18/29,,"Cove, Oregon",Varney Air Lines,,,Stearman C-38,,,1,1,,,Cove, Oregon,,
1/25/29,,"Near Corfu, Greece",Aeroespresso,,,CMASA Wal,,,9,2,,,Near Corfu, Greece,,
1/31/29,,"Morgantown, West Virginia",Skyline Transportation Company,,,Travel Air 4000,,,1,1,,,Morgantown, West Virginia,,
1/31/29,,Off Morocco,Aeropostale,,,Latecoere 26,,,2,2,,,Off Morocco,,,
3/17/29,,"Newark, New Jersey",Colonial Western Airlines,,,Ford 5-AT-B Tri Motor,,,15,14,,,Newark, New Jersey,,
3/30/29,,"Near Beaumont, California",New Standard Airlines,,,Fokker F-VIIA,,,4,4,,,Near Beaumont, California,,
4/21/29,,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,,,Ford 5-AT-B Tri-Motor / B-PW-9D,,,6,6,,,San Diego, California,,
5/18/29,,Hungary,MALERT,,,Fokker F-III,,,2,2,,,Hungary,,,
5/22/29,,Algiers,Aeropostale,,,Cams 53,,,5,4,,,Algiers,,,
6/10/29,,"Santiago de Cuba, Cuba",Pan American Airways,,,Fokker F-X,,,5,2,,,Santiago de Cuba, Cuba,,
6/14/29,,"Barcelona, Spain",Aeropostale,,,Breguet 14,,,2,1,,,Barcelona, Spain,,
6/17/29,,"Off Dungeness, England",Imperial Airways,,,Handley Page W-10,,,13,7,,,Off Dungeness, England,,
6/24/29,,"St. Paul, Minnesota",Northwest Orient Airlines,,,Ford 5-AT-B Tri-Motor,,,8,1,,,St. Paul, Minnesota,,
6/29/29,,"Lake Constance, Switzerland",Aero Lloyd,,,Domier Delphin III,,,5,5,,,Lake Constance, Switzerland,,
6/29/29,,"Columbus, Ohio",Continental Air Lines,,,Travel Air 4000,,,1,1,,,Columbus, Ohio,,
8/11/29,,"Clovis, New Mexico",Middle States Airlines,,,Lockheed Vega,,,4,4,,,Clovis, New Mexico,,
8/13/29,,"Perpignan, France",Aeropostale,,,Breguet 14,,,1,1,,,Perpignan, France,,
8/24/29,,"Sochi, Russia",Ukvozduchput,,,Kalinin K-4,,,1,1,,,Sochi, Russia,,
8/24/29,,"Elm, Germany",Deutsche Lufthansa,,,Fokker FG II,,,5,4,,,Elm, Germany,,
9/2/29,,"Needles, California",Associated Aviators,,,Lockheed Vega,,,2,1,,,Needles, California,,
9/3/29,,"Mt. Taylor, New Mexico",Trans Continental Air Transport,,,Ford 5-AT-B Tri Motor,,,8,8,,,Mt. Taylor, New Mexico,,
9/6/29,,"Jask, Iran",Imperial Airways,,,de Havilland DH-66 Hercules,,,5,3,,,Jask, Iran,,
9/17/29,,"Off Larache, Morocco",Aeropostale,,,Latecoere 25-3-R,,,5,5,,,Off Larache, Morocco,,
9/17/29,,"Jacumba, California",Pickwick Airways,,,Fairchild 71,,,2,1,,,Jacumba, California,,
9/17/29,,"Mt Lamentation, Connecticut",Colonial Air Transport,,,Pitcairn PA-6 Mailwing,,,1,1,,,Mt Lamentation, Connecticut,,
10/26/29,,"Off Spezia, Italy",Imperial Airways,,,Short Calcutta,,,7,7,,,Off Spezia, Italy,,
10/29/29,,"Mount Vernon, Ohio",Continental Air Lines,,,Stearman C-38,,,1,1,,,Mount Vernon, Ohio,,
10/31/29,,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,,,Loening C-2C,,,2,2,,,Off Bremerton, Washington,,
11/4/29,,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,,,Lockheed Vega 5,,,4,4,,,Cerro del Carbon, Mexico,,
11/6/29,,"Near Godstone, Surrey, England",Deutsche Lufthansa,,,Junkers G-24,,,8,7,,,Near Godstone, Surrey, England,
11/15/29,,"Off Corsica, France",Air Union,,,Liore et Olivier 190,,,3,3,,,Off Corsica, France,,
11/30/29,,"Vancouver, Washington",Varney Air Lines,,,Stearman M-2 Speedmail,,,1,1,,,Vancouver, Washington,,
12/2/29,,"Chagrin Falls, Ohio",National Air Transport,,,Douglas M-3,,,1,1,,,Chagrin Falls, Ohio,,
12/14/29,,Mediterranean Sea,Aeropostale,,,Bernard 192,,,3,3,,,Mediterranean Sea,,,
12/19/29,,"Near Berlin, Germany",Deutsche Lufthansa,,,Arado V1,,,3,2,,,Near Berlin, Germany,,
12/30/29,,"Amarillo, Texas",Trans Continental Air Transport,,,Travel Air B6000,,,5,5,,,Amarillo, Texas,,
1/10/30,,"Brawnson, Nebraska",Boeing Air Transport,,,Boeing 95,,,1,1,,,Brawnson, Nebraska,,
1/13/30,,"Antananarivo, Madagascar",Air Orient,,,Farman 190,,,3,3,,,Antananarivo, Madagascar,,
1/19/30,,"Oceanside, California",Maddux Airlines,7,,Ford 5-AT-C Tri Motor,,,16,16,,,Oceanside, California,,
1/25/30,,"Off Ceuta, Spain",Aeropostale,,,Latecoere 25,,,2,2,,,Off Ceuta, Spain,,
1/27/30,,"Kansas City, Kansas",Central  Airlines,,,Travel Air A6000A,,,5,5,,,Kansas City, Kansas,,
2/3/30,,"Hartford, Connecticut",Colonial Air Transport,,,Pitcairn PA-6 Mailwing,,,1,1,,,Hartford, Connecticut,,
2/10/30,,"Marden, England",Air Union,,,Farman F-63,,,2,2,,,Marden, England,,
4/18/30,,"Jersey City, New Jersey",Canadian Colonial Airways,,,Fairchild 71,,,4,4,,,Jersey City, New Jersey,,
5/10/30,,Buenos Aires,Aeropostale,,,Latecoere 28,,,4,3,,,Buenos Aires,,,
6/5/30,,"Boston, Massachusetts",Colonial Air Transport,,,Ford Tri-Motor 5,,,15,1,,,Boston, Massachusetts,,
7/7/30,,"Bornholm, Denmark",Deutsche Lufthansa,,,Dornier Wal,,,8,5,,,Bornholm, Denmark,,
7/10/30,,"Arkansas Pass, Texas",Cross Airways,,,Lockheed Vega 5,,,5,5,,,Arkansas Pass, Texas,,
8/22/30,,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,,,Ford 5-AT-C Tri Motor,,,11,10,,,Iglau, Czechoslovakia,,
9/11/30,,"Croydon, England",Sabena,,,Sabca F-VII,,,2,2,,,Croydon, England,,
9/25/30,,"Southesk, Saskatchewan, Canada",Western Canada Airways,,,,,,3,3,,,Southesk, Saskatchewan, Canada,
10/5/30,,"Near Beauvais, France",Military - British Air Ministry,,,Royal Airship Works R-101,,,54,48,,,Near Beauvais, France,,
10/6/30,,"Dresden, Germany",Deutsche Lufthansa,,,Messerschmitt M-20B,,,8,8,,,Dresden, Germany,,
10/12/30,,"La Rache, Morocco",Aeropostale,,,Latecoere 28,,,4,4,,,La Rache, Morocco,,
10/28/30,,"Prince Rupert, BC, Canada",Alaska-Washington Airways,,,Lockheed Vega,,,3,3,,,Prince Rupert, BC, Canada,
10/30/30,,"Near Neufchatel, France",Imperial Airways,,,Handley Page W-8,,,6,3,,,Near Neufchatel, France,,
10/30/30,,"Brookston, Indiana",Embry Riddle Company,,,Pitcairn PA-6 Mailwing,,,1,1,,,Brookston, Indiana,,
11/7/30,,"Off of Santos, Brazil",Syndicato Condor,,,Junkers G-24,,,9,1,,,Off of Santos, Brazil,,
11/18/30,,"Techachapi Mountains, California",PacifiAir Transport,,,Boeing 40,,,3,3,,,Techachapi Mountains, California,,
12/9/30,,"Shanghai, China",China National Aviation Corporation,,,Loening C-W Air Yaht,,,6,4,,,Shanghai, China,,
1/8/31,,"Melle, Belgium",Sabena,,,Fokker F-VII,,,2,2,,,Melle, Belgium,,
1/22/31,,"Bluff Mountain, Washington",Varney Air Lines,,,Boeing 40,,,1,1,,,Bluff Mountain, Washington,,
2/8/31,,"Wairoa, New Zealand",Dominion Air Lines,,,Desoutter II,,,1,1,,,Wairoa, New Zealand,,
